time_min,response_mAU
29.0,99.7025
29.1,92.0241
29.2,84.9070
29.3,78.1167
29.4,72.2099
29.5,66.9740
29.6,62.7768
29.7,58.6745
29.8,54.7659
29.9,51.7891
30.0,48.9399
30.1,46.4820
30.2,44.3562
30.3,42.5225
30.4,40.7401
30.5,39.7100
30.6,37.9786
30.7,37.0716
30.8,36.4434
30.9,35.4935
31.0,34.7273
31.1,34.1741
31.2,34.0118
31.3,33.7595
31.4,33.3265
31.5,32.7935
31.6,32.8782
31.7,32.7373
31.8,32.5627
31.9,32.2435
32.0,32.0311
32.1,31.8940
32.2,31.7020
32.3,32.0267
32.4,32.0888
32.5,32.0478
32.6,31.9666
32.7,31.5200
32.8,31.9004
32.9,31.7726
33.0,31.4732
33.1,31.4244
33.2,31.5496
33.3,31.4998
33.4,31.8639
33.5,31.4721
33.6,31.4381
33.7,31.7570
33.8,31.4218
33.9,31.2683
34.0,31.6234
34.1,31.2715
34.2,31.5392
34.3,31.2545
34.4,31.2183
34.5,31.2011
34.6,31.6793
34.7,31.3362
34.8,31.4251
34.9,31.6140
35.0,31.3129
35.1,31.6088
35.2,31.2077
35.3,31.6271
35.4,31.4616
35.5,31.3092
35.6,31.4794
35.7,31.3908
35.8,31.3079
35.9,31.5369
36.0,31.3081
36.1,31.6429
36.2,31.3047
36.3,31.5526
36.4,31.5780
36.5,31.8829
36.6,31.9339
36.7,31.8931
36.8,32.0472
36.9,31.7522
37.0,32.1039
37.1,32.4285
37.2,32.3090
37.3,32.5756
37.4,32.5854
37.5,32.7966
37.6,33.2193
37.7,33.5066
37.8,33.6099
37.9,34.0069
38.0,33.9772
38.1,34.8925
38.2,34.9779
38.3,35.6086
38.4,36.1643
38.5,36.7907
38.6,37.9893
38.7,38.8612
38.8,39.2768
38.9,40.6539
39.0,41.7244
39.1,42.9304
39.2,44.6689
39.3,46.4060
39.4,47.9212
39.5,49.7180
39.6,52.3811
39.7,54.8281
39.8,57.2284
39.9,59.8576
40.0,63.0907
40.1,66.8115
40.2,70.5770
40.3,74.5756
40.4,79.1396
40.5,84.2914
40.6,89.5447
40.7,95.0637
40.8,101.2796
40.9,107.9555
41.0,115.1413
41.1,122.5647
41.2,130.9709
41.3,139.9829
41.4,149.2078
41.5,159.1376
41.6,170.3180
41.7,181.8068
41.8,193.5905
41.9,206.5759
42.0,220.0524
42.1,234.5862
42.2,249.6712
42.3,265.6618
42.4,282.2775
42.5,299.8991
42.6,317.7796
42.7,336.7831
42.8,357.0269
42.9,377.7485
43.0,398.8464
43.1,421.3034
43.2,444.0010
43.3,467.6015
43.4,491.5707
43.5,516.1735
43.6,541.5834
43.7,567.9820
43.8,594.2148
43.9,621.1083
44.0,648.0061
44.1,675.6494
44.2,703.7556
44.3,731.5214
44.4,759.5082
44.5,787.3090
44.6,815.2890
44.7,842.9617
44.8,870.5330
44.9,897.6904
45.0,924.0998
45.1,950.3171
45.2,975.7303
45.3,1000.5982
45.4,1024.6710
45.5,1047.6042
45.6,1069.8515
45.7,1090.6543
45.8,1110.5152
45.9,1129.1030
46.0,1146.0961
46.1,1161.8877
46.2,1176.0976
46.3,1189.3147
46.4,1200.2811
46.5,1209.6436
46.6,1218.0093
46.7,1224.1731
46.8,1228.3680
46.9,1231.0128
47.0,1231.8895
47.1,1231.0889
47.2,1228.2329
47.3,1224.0108
47.4,1218.1979
47.5,1209.8593
47.6,1200.4387
47.7,1189.7191
47.8,1176.7303
47.9,1162.2159
48.0,1146.3845
48.1,1129.2719
48.2,1111.2863
48.3,1091.0088
48.4,1070.3890
48.5,1048.2009
48.6,1025.0645
48.7,1001.5418
48.8,976.8983
48.9,951.1665
49.0,924.9249
49.1,898.3459
49.2,871.1521
49.3,844.0049
49.4,816.0725
49.5,788.4952
49.6,760.3320
49.7,732.6835
49.8,704.3673
49.9,676.6349
50.0,649.6403
50.1,622.3716
50.2,595.2455
50.3,568.9416
50.4,542.8699
50.5,517.6123
50.6,492.7194
50.7,469.0433
50.8,445.3092
50.9,422.2900
51.0,400.4370
51.1,378.9619
51.2,358.4032
51.3,338.8864
51.4,319.4434
51.5,301.5643
51.6,284.2614
51.7,267.1109
51.8,251.1809
51.9,236.6004
52.0,221.9330
52.1,208.2899
52.2,195.5664
52.3,183.6691
52.4,172.0963
52.5,161.6283
52.6,151.5734
52.7,141.6853
52.8,133.2586
52.9,125.0226
53.0,117.0281
53.1,109.8115
53.2,103.4461
53.3,97.5364
53.4,91.3555
53.5,86.1304
53.6,81.2222
53.7,77.0973
53.8,73.2249
53.9,69.2620
54.0,65.6712
54.1,62.4316
54.2,59.7549
54.3,56.9657
54.4,54.7134
54.5,52.7294
54.6,50.9037
54.7,48.7026
54.8,47.1125
54.9,45.9948
55.0,44.6454
55.1,43.7276
55.2,42.2101
55.3,41.7260
55.4,40.5233
55.5,39.6823
55.6,39.4085
55.7,38.7026
55.8,38.1369
55.9,37.6796
56.0,37.6206
56.1,37.0023
56.2,36.6018
56.3,36.7051
56.4,36.2498
56.5,36.2651
56.6,35.8832
56.7,35.8713
56.8,35.6712
56.9,35.7553
57.0,35.2533
57.1,35.2593
57.2,35.4432
57.3,35.2067
57.4,35.4066
57.5,35.0688
57.6,35.0249
57.7,35.2557
57.8,35.2704
57.9,34.8279
58.0,35.2565
58.1,35.2266
58.2,35.3970
58.3,35.2286
58.4,35.0591
58.5,35.2876
58.6,34.9828
58.7,35.0531
58.8,35.4044
58.9,35.5166
59.0,35.2861
59.1,35.0831
59.2,35.6358
59.3,35.4538
59.4,35.6856
59.5,35.5416
59.6,35.5759
59.7,35.6387
59.8,35.4788
59.9,35.7293
60.0,35.5254
60.1,35.3711
60.2,35.5357
60.3,35.9261
60.4,35.9289
60.5,35.7713
60.6,35.6925
60.7,35.5746
60.8,36.0355
60.9,35.5712
61.0,36.0866
61.1,35.8985
61.2,36.0242
61.3,35.6544
61.4,35.6657
61.5,35.8822
61.6,36.1477
61.7,36.0916
61.8,35.9218
61.9,35.9009
62.0,35.8316
62.1,36.0363
62.2,36.0022
62.3,36.2294
62.4,36.4266
62.5,36.3805
62.6,36.1627
62.7,36.0970
62.8,36.2684
62.9,36.4540
63.0,36.6130
63.1,36.6310
63.2,36.3666
63.3,36.5248
63.4,36.5682
63.5,36.5679
63.6,36.4980
63.7,36.3743
63.8,36.5983
63.9,36.4379
64.0,36.4690
64.1,36.5858
64.2,36.6889
64.3,36.8696
64.4,36.8002
64.5,36.6519
64.6,36.6936
64.7,36.6111
64.8,36.9418
64.9,37.0138
65.0,37.1109
65.1,37.0349
65.2,37.0753
65.3,36.6499
65.4,36.8906
65.5,36.8879
65.6,37.2295
65.7,36.9673
65.8,37.2315
65.9,36.8364
66.0,36.9099
66.1,37.0701
66.2,37.2212
66.3,37.4966
66.4,37.0754
66.5,37.5377
66.6,37.2834
66.7,37.8159
66.8,37.5344
66.9,38.0701
67.0,37.9490
67.1,38.1619
67.2,38.7039
67.3,39.3203
67.4,39.3868
67.5,40.3545
67.6,40.8738
67.7,41.8392
67.8,42.6736
67.9,44.0686
68.0,45.8301
68.1,47.4952
68.2,49.8111
68.3,52.7778
68.4,55.5227
68.5,59.4714
68.6,63.3374
68.7,68.2309
68.8,74.0953
68.9,80.6205
69.0,87.6552
69.1,95.9500
69.2,104.8787
69.3,115.1911
69.4,126.6278
69.5,138.8705
69.6,152.6590
69.7,167.0729
69.8,183.1333
69.9,199.8806
70.0,217.7961
70.1,236.6339
70.2,256.5122
70.3,276.5672
70.4,297.5899
70.5,319.2065
70.6,340.6472
70.7,362.3226
70.8,383.7489
70.9,404.8227
71.0,424.8167
71.1,444.1404
71.2,462.6211
71.3,478.6992
71.4,494.1072
71.5,506.6857
71.6,517.6713
71.7,526.5698
71.8,532.7125
71.9,536.3323
72.0,537.8198
72.1,536.6363
72.2,532.8738
72.3,526.2354
72.4,517.5029
72.5,507.0412
72.6,493.7855
72.7,478.8039
72.8,462.4599
72.9,444.3106
73.0,425.3875
73.1,405.2819
73.2,384.3582
73.3,362.4487
73.4,340.8799
73.5,319.4452
73.6,298.1447
73.7,277.2497
73.8,256.7147
73.9,236.7392
74.0,218.2328
74.1,200.1489
74.2,183.2185
74.3,167.4529
74.4,152.8743
74.5,139.5226
74.6,126.9980
74.7,115.3889
74.8,105.1898
74.9,96.5023
75.0,87.9842
75.1,80.9888
75.2,74.5615
75.3,68.6996
75.4,63.7860
75.5,59.8664
75.6,55.9866
75.7,52.9903
75.8,50.1126
75.9,47.9078
76.0,46.1390
76.1,44.4750
76.2,43.3645
76.3,42.4093
76.4,41.2529
76.5,40.4158
76.6,40.0585
76.7,39.6079
76.8,39.3117
76.9,38.8492
77.0,38.3974
77.1,38.2859
77.2,38.0106
77.3,37.9590
77.4,37.7306
77.5,37.6308
77.6,37.7905
77.7,37.8177
77.8,37.8833
77.9,37.4317
78.0,37.4073
78.1,37.3943
78.2,37.6114
78.3,37.3925
78.4,37.3054
78.5,37.4263
78.6,37.5830
78.7,37.6708
78.8,37.3729
78.9,37.6714
79.0,37.8234
79.1,37.5133
79.2,37.4010
79.3,37.2796
79.4,37.4814
79.5,37.6831
79.6,37.2170
79.7,37.1573
79.8,37.4277
79.9,37.4695
80.0,37.6016
80.1,37.6931
80.2,37.1374
80.3,37.2682
80.4,37.4632
80.5,37.4456
80.6,37.4799
80.7,37.4232
80.8,37.2240
80.9,37.1729
81.0,37.4567
81.1,37.4903
81.2,37.1731
81.3,37.5135
81.4,37.4889
81.5,37.1378
81.6,37.4502
81.7,36.9532
81.8,37.0906
81.9,37.4123
82.0,37.1734
82.1,37.2168
82.2,37.3583
82.3,37.3280
82.4,36.9874
82.5,37.2737
82.6,37.0477
82.7,36.8274
82.8,37.2869
82.9,37.0835
83.0,37.3375
83.1,37.2003
83.2,37.1106
83.3,36.9157
83.4,36.9436
83.5,37.2212
83.6,37.2547
83.7,36.9920
83.8,37.1085
83.9,37.1114
84.0,37.1243
84.1,36.7698
84.2,36.9179
84.3,36.8059
84.4,36.6096
84.5,36.7515
84.6,36.9719
84.7,36.6965
84.8,37.0344
84.9,36.7815
85.0,36.9458
85.1,36.7919
85.2,36.8739
85.3,36.9064
85.4,36.6458
85.5,36.8227
85.6,36.4928
85.7,36.6438
85.8,36.8844
85.9,36.4639
86.0,36.6372
86.1,36.5684
86.2,36.8080
86.3,36.5394
86.4,36.7571
86.5,36.6952
86.6,36.5787
86.7,36.5615
86.8,36.4814
86.9,36.6651
87.0,36.2035
87.1,36.3561
87.2,36.6903
87.3,36.7073
87.4,36.4545
87.5,36.1974
87.6,36.4092
87.7,36.2877
87.8,36.2955
87.9,36.3600
88.0,36.4040
88.1,36.5944
88.2,36.6027
88.3,36.2717
88.4,36.2025
88.5,36.5373
88.6,36.3006
88.7,36.2536
88.8,36.3495
88.9,36.1725
89.0,36.4045
89.1,35.9691
89.2,36.2861
89.3,36.2871
89.4,36.3238
89.5,36.3278
89.6,36.1242
89.7,36.0613
89.8,35.9240
89.9,35.9023
90.0,36.2482
90.1,35.9559
90.2,35.9230
90.3,35.8341
90.4,36.1164
90.5,35.9503
90.6,35.7954
90.7,36.1384
90.8,36.3035
90.9,35.8823
91.0,35.7419
91.1,36.0009
91.2,36.0854
91.3,35.9362
91.4,35.8381
91.5,35.6695
91.6,35.7246
91.7,35.8425
91.8,36.1470
91.9,36.0896
92.0,35.7030
92.1,35.7824
92.2,35.6605
92.3,36.0063
92.4,36.0145
92.5,36.1906
92.6,36.0954
92.7,36.1723
92.8,35.9957
92.9,36.0366
93.0,35.9260
93.1,35.7184
93.2,35.7131
93.3,35.8852
93.4,35.7998
93.5,35.5694
93.6,35.8576
93.7,36.0113
93.8,35.7160
93.9,36.0520
94.0,35.9220
94.1,35.8826
94.2,35.7454
94.3,35.5464
94.4,35.9281
94.5,35.5078
94.6,35.7572
94.7,36.0307
94.8,35.5501
94.9,35.5332
95.0,35.9845
95.1,35.8241
95.2,35.7797
95.3,35.7048
95.4,35.7962
95.5,35.7870
95.6,35.9406
95.7,35.7266
95.8,35.7678
95.9,35.6383
96.0,35.9332
96.1,35.9323
96.2,35.9776
96.3,35.6871
96.4,35.5920
96.5,35.6211
96.6,35.9176
96.7,36.0978
96.8,35.9931
96.9,35.6673
97.0,35.7863
97.1,35.7516
97.2,36.0768
97.3,35.8945
97.4,36.0872
97.5,35.6387
97.6,35.7472
97.7,35.5864
97.8,35.7206
97.9,36.1130
98.0,35.8344
98.1,35.6256
98.2,36.0276
98.3,35.6677
98.4,36.0450
98.5,35.8120
98.6,35.7200
98.7,35.9059
98.8,35.8635
98.9,36.1073
99.0,35.9423
99.1,36.0859
99.2,35.7592
99.3,35.9935
99.4,36.0767
99.5,36.1829
99.6,35.7973
99.7,35.8883
99.8,36.1689
99.9,35.9732
100.0,36.0326
